candidate,n_stubs,depth_scale,width_scale,seed_offset,fabrication_valid,f3db_thz,pass_avg_s21_db,pass_min_s21_db,pass_ripple_db,pass_avg_s11_db,edge_avg_s21_db,stop_avg_s21_db,stop_max_s21_db,monotonic_violation_db,score
SWEEP_0067,9,1.12,0.75,0,True,0.7495806765134141,-0.5103539105298074,-2.0275660301723866,1.9099770289324984,-14.959701553216986,-17.862121144872095,-10.275784434181862,-1.325594607100783,18.95318737829224,-15.558895192723227
SWEEP_0068,9,1.12,0.75,1,True,0.734952395570264,-0.4479651842797092,-1.581243921413658,1.4763354521731997,-15.199452391048991,-26.320308893526587,-8.861612640122356,-0.9283247304102777,20.770257927099824,-16.384887315158835
SWEEP_0069,9,1.12,1.0,0,True,0.7655257188149658,-0.28069108680418775,-0.836990901237229,0.7220792388812145,-19.499702101423637,-24.417755700469524,-10.20803329628634,-1.0851854589766514,24.05978483998731,-14.219491420488112
SWEEP_0070,9,1.12,1.0,1,True,0.7265465419115931,-0.35983242135193705,-0.734946650684279,0.6220294106979376,-16.091433374310338,-29.659468081561883,-8.62289950542559,-0.6617238866139681,34.371864590503634,-20.687250662338947
SWEEP_0071,9,1.12,1.25,0,True,0.699504129046971,-0.6700150533227731,-2.4571204255580428,2.352569520238132,-13.722467419769885,-33.97639110022916,-9.65509481419531,-0.6267042954022067,39.32961435669635,-28.750853350741895
SWEEP_0072,9,1.12,1.25,1,True,0.7240053737298963,-0.32162899992758753,-1.4762104910058214,1.3631468897146397,-17.298643293449885,-54.51755725091266,-7.8695019404423405,-0.33697924626702924,42.38119222092598,-27.365737645103714
SWEEP_0073,11,0.88,0.75,0,True,0.9322169264974377,-0.2385758903689825,-0.4473558792880331,0.334453513683591,-19.348963642756708,-3.5033460105988667,-12.599768284267046,-1.329867919058457,0.14922500291694585,-7.647731378817932
SWEEP_0074,11,0.88,0.75,1,True,0.9758370106887863,-0.241047111702211,-0.6968411970882781,0.5823330270834259,-19.947649655369787,-2.1554656899501237,-10.569966320357247,-0.5910963652585662,0.0,-9.643304584717669
SWEEP_0075,11,0.88,1.0,0,True,0.9127561567677022,-0.24989072696969095,-0.7243609172294475,0.6161743846518669,-20.531806043134388,-4.435478142530864,-15.598490126846148,-1.36816345730026,0.45690709367794025,-6.907446367596277
SWEEP_0076,11,0.88,1.0,1,True,0.9075440941563434,-0.23184690846994685,-0.582264833597643,0.46039014568700937,-19.718563515722302,-4.132597002998458,-17.549895421125974,-0.4306111979617725,0.10831856505072901,-6.618908682005251
SWEEP_0077,11,0.88,1.25,0,True,0.8195332885396541,-0.2838315168509938,-0.9264787512395138,0.8155337195541232,-19.340515960719312,-6.229539408517113,-18.913051422103454,-0.42242794294897473,2.3648779752354816,-3.658645559966188
SWEEP_0078,11,0.88,1.25,1,True,0.9352780765503343,-0.2579467900791528,-0.5233163551993544,0.4101295578530353,-18.72541132466494,-5.586363098834869,-26.917747506796506,-0.8855661905871238,0.5519039224183468,-8.449082896959352
SWEEP_0079,11,0.96,0.75,0,True,0.8682419495412053,-0.2600695927934947,-0.4927278497634472,0.37880126932889746,-18.58042078932884,-9.431658002146571,-11.313038607808307,-1.0358419476096554,1.2689255786382885,-5.398793956458359
SWEEP_0080,11,0.96,0.75,1,True,0.8975250913311004,-0.27233494413536297,-0.8243492486074318,0.7085927831149431,-18.90532062088662,-9.438934374584258,-11.357570074561123,-0.6825624470819748,0.4710857364704316,-6.458773077007635
SWEEP_0081,11,0.96,1.0,0,True,0.791701909666708,-0.27442828124181473,-0.806363504187845,0.6975640310477527,-19.461034071421555,-11.351709121742772,-13.197195749187053,-1.6314396934257622,2.266067785316018,-3.2038475675156044
